smiles,log_KOA
Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,9.87
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,10.24905618
Clc1ccc2c(Cl)cccc2c1Cl,7.449596573
Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2c(Cl)c1Cl,11.43
Clc1ccc2ccc(Cl)c(Cl)c2c1,7.537197658
Clc1cc2cccc(Cl)c2cc1Cl,7.537197658
Clc1ccc2cc(Cl)c(Cl)c(Cl)c2c1,8.346092621
Clc1cc2c(Cl)ccc(Cl)c2cc1Cl,8.13
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,9.03
Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl,10.37
Clc1cc2c(oc3cc(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,10.78
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,10.35506004
Clc1cc2c(c(Cl)c1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2,10.97
Clc1cc2oc3ccc(Cl)c(Cl)c3c2cc1Cl,9.78
Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,10.68517643
Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,10.11
Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)cc32)c(Cl)c1Cl,10.87
Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl,9.49
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,9.94
Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,11.17
Clc1ccc2c(Cl)c(Cl)ccc2c1Cl,8.223451103
Clc1c(Cl)c(Cl)c2c(Cl)cccc2c1Cl,9.282750404
Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,10.2
Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2cc1Cl,10.77
Clc1cc2oc3cc(Cl)c(Cl)c(Cl)c3c2c(Cl)c1Cl,10.93
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1Cl,8.526266309
Clc1cc2oc3ccc(Cl)c(Cl)c3c2c(Cl)c1Cl,10.48
Clc1ccc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2c1Cl,10.95
Clc1c(Cl)c(Cl)c2c(Cl)ccc(Cl)c2c1Cl,10.37
Clc1cc2ccc(Cl)c(Cl)c2cc1Cl,8.346092621
Clc1ccc2c(Cl)ccc(Cl)c2c1Cl,8.4
Clc1cc2cccc(Cl)c2c(Cl)c1Cl,8.601618259
Clc1ccc2ccc(Cl)c(Cl)c2c1Cl,8.706739561
Clc1cc(Cl)c2c(Cl)cc(Cl)cc2c1,8.223451103
Clc1cc2cc(Cl)c(Cl)c(Cl)c2cc1Cl,9.102426934
Clc1cc(Cl)c2c(Cl)cc(Cl)c(Cl)c2c1,8.86
Clc1cc(Cl)c2c(Cl)c(Cl)ccc2c1Cl,9.15
Clc1ccc2c(Cl)cc(Cl)c(Cl)c2c1Cl,9.06
Clc1cc(Cl)c2c(Cl)c(Cl)cc(Cl)c2c1,8.78
Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)cc2c1,9.160108886
Clc1cc(Cl)c2c(Cl)ccc(Cl)c2c1Cl,9.18
Brc1ccc(Oc2c(Br)cccc2Br)cc1Br,10.36
C=C(Cl)Cl,2.342422681
FC(F)(Cl)Cl,0.477121255
FC(Cl)(Cl)Cl,1.681241237
C=CCl,0.903089987
CCCl,1.77815125
CBr,1.62324929
CC(=O)c1ccccc1,4.447158031
O=[N+]([O-])c1ccccc1,4.579783597
Cc1cccc2ccccc12,5.568201724
C1CCC2CCCCC2C1,4.2
Cc1ccc(C)c(C)c1C,4.4
CCCCCCCCC,3.899108858
CCCC(C)C,2.340444115
CC(C)CC(C)C,2.633064273
CC(C)CCC(C)C,3.102090526
CC(C)C(C)C(C)C,3.198106999
CCC1CCCCC1,3.567379308
O=C1CCCCCCCCCCCCCC1,6.59
O=C1CCCCCCCCCCCCCCCO1,7.31
Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,8.07
Cc1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,8.39
BrC1CCC(Br)C(Br)CCC1Br,7.4
C=CCOc1c(Br)cc(Br)cc1Br,6.8
Brc1cc(Br)c(Br)c(Br)c1Br,8.3
BrCC(Br)COc1c(Br)cc(Br)cc1Br,8.77
[2H]c1c([2H])c([2H])c(C(=O)c2c([2H])c([2H])c([2H])c([2H])c2[2H])c([2H])c1[2H],7.48
COc1ccc(C(=O)c2ccccc2)c(O)c1,9.06
CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C,6.43
CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,7.58
Clc1cc2ccccc2c2ccccc12,8.413
Clc1ccc2cc3ccccc3cc2c1,8.469
Clc1c2ccccc2cc2ccccc12,8.471
Clc1ccc2cc(Cl)c3ccccc3c2c1,9.241
Clc1c(Cl)c2ccccc2c2ccccc12,9.297
Clc1ccc2c3c(cccc13)-c1ccccc1-2,9.539
Clc1ccc2c(c1)-c1cccc3cccc-2c13,9.581
Clc1ccc2ccc3cccc4ccc1c2c34,9.708
Clc1ccc2c(Cl)c(Cl)c3ccccc3c2c1,9.977
Clc1cc(Cl)c2cccc3c2c1-c1ccccc1-3,10.105
Clc1ccc2c(c1)-c1cccc3c(Cl)ccc-2c13,10.324
